n_treino,acuracia,eqm,componentes
100,0.639,0.0722,7
134,0.646,0.0708,12
180,0.716,0.0568,12
242,0.742,0.0516,12
325,0.7485,0.0503,8
437,0.7685,0.0463,12
586,0.765,0.047,10
788,0.7615,0.0477,12
1058,0.792,0.0416,12
1422,0.782,0.0436,10
1910,0.787,0.0426,12
2565,0.789,0.0422,10
3445,0.7985,0.0403,11
4627,0.7625,0.0475,11
6215,0.77,0.046,10
8347,0.7605,0.0479,9
11211,0.757,0.0486,9
15058,0.756,0.0488,10
20224,0.7585,0.0483,10
27163,0.754,0.0492,10
36483,0.757,0.0486,10
49000,0.7775,0.0445,10
